Time_hours,Temperature_C,pH,Dissolved_Oxygen_percent,Glucose_gL,Agitation_RPM,Cell_Viability_percent,Product_Titer_gL
0,37.09934283060225,7.02798710873172,78.64964345005124,4.809219244212261,291.36506395035065,99.5762403179773,0.0
1,36.972347139765766,7.017992673658256,79.69096265856896,4.91096149892205,299.6879651106092,99.53658589161614,0.0
2,37.12953770762014,7.000192607398403,78.37516015800007,4.952639446657836,300.18016872044444,98.18435682737,0.0
3,37.3046059712816,6.985561264445889,79.32407694072192,5.179768765734019,304.7263034584341,99.63990980829855,0.0
4,36.953169325055335,7.011964466272272,76.13277066609243,5.043655312453376,286.33141636719176,100.0,0.0
5,36.95317260861017,7.005369707708435,80.32658741474589,4.851451843090011,305.9256727384733,98.6757678809232,0.4685772431656922
6,37.31584256310148,7.014903864400554,79.88241095072445,5.030603628941764,272.9560836839722,100.0,0.0
7,37.15348694583058,7.00920343603364,78.22582273786362,4.824269601106163,293.7011544763619,100.0,0.0
8,36.90610512281301,7.016991054306387,81.15849133686481,5.0842691053887075,295.1172615754846,99.18576667802897,0.6500339232475801
9,37.10851200871719,6.984795295768788,81.69514027525311,4.925887534818212,306.3332682607124,99.76847036266214,0.0
10,36.90731646143751,7.021347881312686,76.58488027126205,4.960636381126083,300.2263085267687,100.0,0.07063978644768565
11,36.90685404928595,6.998451992093848,78.25455044286757,5.099579664754218,285.94436946143713,100.0,0.33326825347035577
12,37.04839245431321,7.0355052174525055,78.22171530042542,4.835283643141575,290.15006874182984,99.88878365489815,0.2198052092013914
13,36.61734395106844,6.979716243638209,77.86019379778226,4.821288181488701,301.98680009547405,99.63231668303902,0.6770897737607378
14,36.655016433497394,7.027719276063305,81.3789496838635,4.8996400673654,299.20932658135445,99.93660907045165,0.37950157169637944
15,36.8875424941518,6.996458215669253,79.31234772245439,5.058837885101932,294.20875890364255,99.33823644205769,0.0
16,36.797433775933115,6.978971639927711,79.15097031737878,4.800065392452316,295.1916621048802,97.73525049428099,1.2492810869958308
17,37.062849466519054,6.981822283318913,75.65227527118648,4.665784440188943,306.9616799715929,100.0,0.26716673166911664
18,36.818395184895756,6.984593053836114,80.91083606041845,4.9008841141590995,294.82307427130786,99.9753249991994,0.10632988668924688
19,36.717539259732945,6.998983318928039,77.14148321029306,4.998174079991092,299.11908755970927,100.0,0.6719627115277855
20,37.293129753784314,7.00045670976071,79.71986526053266,5.060026174973883,321.69936588080543,99.7420922501231,0.3247254729650361
21,36.95484473990269,6.978025999921228,80.13475387591639,4.890683863791461,285.7631736311608,99.05488319927542,0.4096140964696635
22,37.01350564093759,6.98851290815478,82.2813171916773,4.8928573392884,281.4815726842534,99.59407551905123,1.4660919993003434
23,36.71505036275731,7.031345407172237,76.92235920176178,5.046390073425575,307.8358966479861,98.17060523780569,0.09243928587247668
24,36.89112345509496,7.022550863402015,73.48097568835834,4.741025830030458,293.21356938705895,100.0,0.08111955299130208
25,37.02218451794197,6.99622647339348,79.86769908950738,4.886147922481699,296.8176247225738,98.51548800157761,0.3082892560062319
26,36.76980128451554,6.987760069563364,83.08102236302172,4.941042388992505,292.1884362186889,98.70803371615281,0.7957579677905193
27,37.075139603669136,6.988900626534366,81.93789270587887,4.963921872128503,297.4019985923249,99.2897407956136,0.0
28,36.87987226201624,6.998270359454608,79.85931883054926,4.865019330680912,315.98538112096344,100.0,0.0
29,36.94166125004134,6.965044148696032,78.43672762873591,4.916444101170584,308.0212845861812,99.72450899926265,0.0
30,36.87965867755412,6.979852469251534,81.01424519327463,4.661167264658701,308.62223511886975,98.46386420396954,0.0
31,37.37045563690179,6.951128318522448,77.43290760059107,4.841175158766616,285.83772944207357,100.0,0.09758432623718077
32,36.99730055505241,6.9919844624521055,80.31271553871244,4.949350871255446,288.4884626344713,100.0,0.5712498480646451
33,36.78845781420882,6.996443918794055,80.35094031833326,4.802770596574532,271.60921340514574,100.0,0.0
34,37.164508982420635,6.973336270754012,81.44041981499775,4.903898422158959,291.90619178917245,100.0,0.0
35,36.75583127000579,7.0139797352658,84.81932007782216,4.9396872500802695,309.5670318638566,100.0,0.384668580857674
36,37.04177271900095,6.957484686739954,80.06483193435753,4.857745079914224,305.1694651574837,100.0,0.7912717423075851
37,36.608065975224044,6.9522125023958035,78.242072748585,4.906046377099657,297.78486737047876,98.9432846569967,0.0
38,36.73436279022032,6.9854890363712,79.18885137561601,4.7897267434715385,299.77699716281944,100.0,0.7901161991529921
39,37.03937224717382,7.001441966052243,75.68184819022176,4.862338872030396,293.11114457424594,99.9931681897589,0.7986531018691632
40,37.147693315999085,7.013678553829158,77.81057373782188,4.941021616958922,302.04758882401785,100.0,0.877042551078314
41,37.03427365623799,6.970322314742621,78.3614351237738,4.892697296096843,307.65878279480614,97.89772916835668,1.0192401074358433
42,36.97687034352235,7.000573616668626,78.11182320413081,4.815346873043606,283.8411321258953,99.40961423461181,1.521006962329808
43,36.93977926088214,6.977729830609986,79.44470974406744,4.89342164042908,302.99647687837347,98.75717640966343,0.2519539756904724
44,36.70429560192652,6.974547454001184,77.4751601352356,4.9394609790636625,309.32434870954665,100.0,0.4947857900389291
45,36.85603115832106,6.995173198749733,81.34206133464893,4.660005872142253,295.8489971103663,100.0,0.24178078337598724
46,36.90787224580804,6.990046457568269,79.0804141298364,4.97790740649559,307.00700612120585,97.46551364898369,0.4609884223779054
47,37.211424445243786,6.944972156860315,79.04139935772277,4.825374526131893,328.1465444447255,99.50796513599573,1.236436677818156
48,37.068723657913694,7.005530806994518,78.38421056697418,4.898548993324023,298.9565720701311,100.0,0.0
49,36.64739196892745,7.00310182708295,79.33038136771795,4.9727246923645225,303.93307050005325,99.32332103768655,0.05947516391721225
