Time_hours,Temperature_C,pH,Dissolved_Oxygen_percent,Glucose_gL,Agitation_RPM,Cell_Viability_percent,Product_Titer_gL,Glucose_Consumption_Rate,DO_Change,Specific_Productivity,Agitation_Normalized,High_Titer_Flag,Low_Viability_Flag
0,37.09934283060225,7.02798710873172,78.64964345005124,4.809219244212261,291.36506395035065,99.5762403179773,0.0,,,0.0,-0.8208823293868684,0,0
1,36.972347139765766,7.017992673658256,79.69096265856896,4.91096149892205,299.6879651106092,99.53658589161614,0.0,0.10174225470978904,1.04131920851772,0.0,0.018218009668736417,0,0
2,37.12953770762014,7.000192607398403,78.37516015800007,4.952639446657836,300.18016872044444,98.18435682737,0.0,0.041677947735785814,-1.3158025005688927,0.0,0.0678411167974444,0,0
3,37.3046059712816,6.985561264445889,79.32407694072192,5.179768765734019,304.7263034584341,99.63990980829855,0.0,0.22712931907618295,0.9489167827218523,0.0,0.5261744703466131,0,0
4,36.953169325055335,7.011964466272272,76.13277066609243,5.043655312453376,286.33141636719176,100.0,0.0,-0.13611345328064228,-3.191306274629497,0.0,-1.3283658753747964,0,0
5,36.95317260861017,7.005369707708435,80.32658741474589,4.851451843090011,305.9256727384733,98.6757678809232,0.4685772431656922,-0.1922034693633652,4.193816748653461,0.004748655655065658,0.6470927835832578,0,0
6,37.31584256310148,7.014903864400554,79.88241095072445,5.030603628941764,272.9560836839722,100.0,0.0,0.17915178585175262,-0.44417646402143873,0.0,-2.676843524377947,0,0
7,37.15348694583058,7.00920343603364,78.22582273786362,4.824269601106163,293.7011544763619,100.0,0.0,-0.2063340278356005,-1.6565882128608251,0.0,-0.5853617681430825,0,0
8,36.90610512281301,7.016991054306387,81.15849133686481,5.084269105388708,295.1172615754846,99.18576667802895,0.6500339232475801,0.25999950428254515,2.9326685990011896,0.006553701655174803,-0.4425923270392118,0,0
9,37.10851200871719,6.984795295768788,81.69514027525311,4.925887534818212,306.3332682607124,99.76847036266214,0.0,-0.15838157057049607,0.5366489383882964,0.0,0.6881858512916029,0,0
10,36.90731646143751,7.021347881312686,76.58488027126205,4.960636381126083,300.2263085267687,100.0,0.0706397864476856,0.03474884630787045,-5.110260003991058,0.0007063978644768561,0.0724928513771517,0,0
